confirmation_bars,exit_sd,n_trades_mean,n_trades_median,gross_wr_mean,gross_wr_median,net_wr_mean,net_wr_median,avg_gross_mean,avg_gross_median,avg_net_mean,avg_net_median,avg_holding_mean,avg_holding_median,median_holding_mean,median_holding_median,avg_total_cost_mean,avg_total_cost_median,n_pairs,n_pairs_above_threshold,pct_pairs_above_threshold
0,1.5,52.1818,48.0,0.7768,0.7795,0.6334,0.6667,0.0076,0.0075,-0.0033,-0.0039,31.3813,31.7682,18.2576,17.75,0.0109,0.011,66,21,31.8
1,1.5,50.6667,47.5,0.7241,0.7292,0.5276,0.5518,0.0028,0.0031,-0.0078,-0.0083,30.0178,30.308,16.4924,15.0,0.0106,0.0106,66,2,3.0
2,1.5,47.7576,45.0,0.6726,0.685,0.4636,0.4738,0.0014,0.001,-0.0086,-0.0087,27.1682,27.2358,13.7652,12.75,0.01,0.01,66,0,0.0
3,1.5,42.2727,41.5,0.6495,0.6522,0.4274,0.4346,0.001,0.0009,-0.008,-0.0077,22.7271,23.2398,8.6364,7.75,0.009,0.0091,66,1,1.5
0,1.8,79.0152,73.5,0.8157,0.817,0.6488,0.6959,0.0068,0.0076,-0.0007,0.0003,15.7648,15.307,7.4621,7.0,0.0075,0.0074,66,21,31.8
1,1.8,74.4545,70.5,0.7116,0.7188,0.4796,0.4904,0.0023,0.0024,-0.0049,-0.0046,14.7614,14.2741,6.2727,6.0,0.0072,0.0071,66,0,0.0
2,1.8,65.8182,63.0,0.623,0.6248,0.3889,0.4035,0.0008,0.001,-0.0061,-0.0059,12.9657,12.9502,4.6818,4.25,0.0068,0.0068,66,0,0.0
3,1.8,53.3333,53.0,0.5825,0.5957,0.3439,0.3418,0.0003,0.0007,-0.006,-0.0055,10.4901,9.8487,2.6591,3.0,0.0063,0.0062,66,0,0.0
0,2.0,119.0909,116.5,0.8133,0.8032,0.5428,0.6018,0.0054,0.0063,-0.0005,0.0004,8.6434,8.3492,3.5606,3.0,0.0059,0.0058,66,13,19.7
1,2.0,105.2121,103.0,0.6537,0.6623,0.3912,0.4,0.0016,0.0015,-0.0041,-0.0042,8.1062,8.0097,2.7879,3.0,0.0058,0.0058,66,0,0.0
2,2.0,84.1818,82.0,0.5655,0.5624,0.3207,0.3317,0.0003,0.0004,-0.0053,-0.0052,7.303,7.191,2.1364,2.0,0.0056,0.0056,66,0,0.0
3,2.0,62.2424,61.5,0.5232,0.5357,0.292,0.288,-0.0001,-0.0001,-0.0053,-0.0053,5.8852,5.6228,1.3561,1.0,0.0053,0.0052,66,0,0.0
