pair,n_trades,mean_velocity,median_velocity,pct_neg,pct_0_to_05,pct_05_to_10,pct_gt10,pct_gt15
all_pairs,649,1.4143,0.9745,1.8,16.3,33.3,48.5,26.8
NATGAS/COPPER,34,1.2384,1.1777,0.0,20.6,23.5,55.9,26.5
NATGAS/BRENT,25,1.0843,0.9085,12.0,8.0,40.0,40.0,12.0
NATGAS/COFFEE,38,1.2294,1.119,0.0,15.8,28.9,55.3,23.7
NATGAS/SUGAR,33,1.4706,0.9515,0.0,18.2,36.4,45.5,18.2
NATGAS/SOYBEANS,29,1.2763,0.9658,6.9,17.2,27.6,48.3,27.6
SILVER/COFFEE,44,1.4124,1.2121,2.3,9.1,29.5,59.1,27.3
WHEAT/BRENT,30,1.5008,0.8732,0.0,16.7,36.7,46.7,30.0
SOYBEANS/WHEAT,36,1.6006,0.8519,0.0,25.0,36.1,38.9,30.6
SOYBEANS/PLATINUM,26,1.6914,0.8487,0.0,23.1,34.6,42.3,19.2
GOLD/NATGAS,31,1.4751,0.9087,0.0,22.6,32.3,45.2,16.1
COPPER/NATGAS,34,1.1197,1.0131,2.9,17.6,29.4,50.0,32.4
BRENT/NATGAS,26,1.28,0.8642,7.7,23.1,26.9,42.3,30.8
COFFEE/NATGAS,41,1.3208,1.2761,0.0,9.8,36.6,53.7,39.0
SUGAR/NATGAS,31,1.3437,0.8483,0.0,19.4,48.4,32.3,12.9
SOYBEANS/NATGAS,36,1.2133,1.0431,5.6,19.4,22.2,52.8,27.8
COFFEE/SILVER,36,1.6191,0.9985,0.0,5.6,44.4,50.0,38.9
BRENT/WHEAT,28,1.649,1.0447,0.0,7.1,39.3,53.6,32.1
WHEAT/SOYBEANS,34,1.5113,0.926,0.0,26.5,32.4,41.2,32.4
PLATINUM/SOYBEANS,29,1.659,1.0427,0.0,13.8,27.6,58.6,20.7
NATGAS/GOLD,28,1.6839,0.99,3.6,10.7,35.7,50.0,28.6
