pair,n_trades,bl_avg_net,opt_EXT_STOP,pct_stopped,net_with_stop,improvement,flag
NATGAS/COPPER,36,0.0191,4.0,8.3,0.0114,-0.0078,harmful
NATGAS/BRENT,26,0.0139,3.75,23.1,0.0049,-0.0091,harmful
NATGAS/COFFEE,39,0.027,4.0,7.7,0.0212,-0.0059,harmful
NATGAS/SUGAR,35,0.007,3.75,14.3,0.0052,-0.0018,harmful
NATGAS/SOYBEANS,31,-0.0177,2.5,80.6,-0.0029,0.0148,too-aggressive
SILVER/COFFEE,46,0.0301,3.25,32.6,0.0268,-0.0034,harmful
WHEAT/BRENT,31,0.0369,2.75,35.5,0.0359,-0.001,harmful
SOYBEANS/WHEAT,38,0.022,3.25,31.6,0.0257,0.0036,marginal
SOYBEANS/PLATINUM,28,0.0019,3.25,25.0,-0.0009,-0.0028,harmful
GOLD/NATGAS,32,-0.0431,2.5,71.9,-0.0166,0.0265,too-aggressive
COPPER/NATGAS,36,0.0178,3.75,5.6,0.0175,-0.0003,harmful
BRENT/NATGAS,27,0.0053,3.0,40.7,0.0195,0.0142,marginal
COFFEE/NATGAS,42,0.0355,4.0,7.1,0.0269,-0.0085,harmful
SUGAR/NATGAS,33,-0.0202,3.25,33.3,-0.0218,-0.0016,harmful
SOYBEANS/NATGAS,38,0.0035,3.0,52.6,0.009,0.0055,marginal
COFFEE/SILVER,37,0.0053,4.0,21.6,0.0104,0.0052,selective
BRENT/WHEAT,29,0.0318,3.0,41.4,0.0244,-0.0074,harmful
WHEAT/SOYBEANS,36,0.0185,3.25,33.3,0.0199,0.0014,marginal
PLATINUM/SOYBEANS,31,0.0036,2.75,54.8,0.0093,0.0057,marginal
NATGAS/GOLD,29,-0.0501,2.5,79.3,-0.0242,0.0259,too-aggressive
