pair,time_gate_pct,N_days,sd_gate,fraction,bl_avg_net,pe_avg_net,net_improvement,pct_fired,pct_no_fire,avg_hold_bl,avg_hold_pe,avg_fin_saving
NATGAS/COPPER,0.5,47,0.25,0.25,0.0191,0.0189,-0.0003,58.3,41.7,126.4,122.6,0.0004
NATGAS/BRENT,0.5,46,1.0,0.25,0.0139,0.0127,-0.0012,69.2,30.8,114.7,101.5,0.0014
NATGAS/COFFEE,0.67,54,0.75,0.75,0.027,0.0322,0.0052,59.0,41.0,121.9,92.3,0.0032
NATGAS/SUGAR,0.67,86,0.25,0.25,0.007,0.006,-0.001,51.4,48.6,144.5,142.8,0.0002
NATGAS/SOYBEANS,0.33,39,1.0,0.75,-0.0177,-0.008,0.0097,77.4,22.6,151.7,94.4,0.0063
SILVER/COFFEE,0.5,35,0.25,0.25,0.0301,0.0289,-0.0012,60.9,39.1,97.5,95.4,0.0002
WHEAT/BRENT,0.67,46,0.25,0.75,0.0369,0.0376,0.0007,58.1,41.9,98.6,87.4,0.0012
SOYBEANS/WHEAT,0.33,26,0.75,0.75,0.022,0.0286,0.0065,65.8,34.2,111.1,68.6,0.0047
SOYBEANS/PLATINUM,0.33,38,0.25,0.75,0.0019,0.0068,0.005,53.6,46.4,140.8,124.4,0.0018
GOLD/NATGAS,0.33,67,0.5,0.75,-0.0431,-0.0227,0.0204,68.8,31.2,179.4,143.5,0.0039
COPPER/NATGAS,0.67,65,0.25,0.75,0.0178,0.0187,0.0008,55.6,44.4,125.1,117.3,0.0009
BRENT/NATGAS,0.5,52,0.75,0.75,0.0053,0.0244,0.0191,63.0,37.0,130.1,87.8,0.0046
COFFEE/NATGAS,0.67,47,0.25,0.75,0.0355,0.0365,0.0011,54.8,45.2,109.7,98.5,0.0012
SUGAR/NATGAS,0.67,89,1.0,0.75,-0.0202,-0.01,0.0102,66.7,33.3,168.4,118.8,0.0054
SOYBEANS/NATGAS,0.5,56,0.75,0.75,0.0035,0.0088,0.0053,60.5,39.5,133.1,97.8,0.0039
COFFEE/SILVER,0.67,58,0.75,0.75,0.0053,0.0194,0.0141,62.2,37.8,126.8,90.2,0.004
BRENT/WHEAT,0.67,60,0.25,0.25,0.0318,0.03,-0.0018,62.1,37.9,112.4,110.2,0.0002
WHEAT/SOYBEANS,0.67,67,0.5,0.75,0.0185,0.0221,0.0036,58.3,41.7,122.3,100.2,0.0024
PLATINUM/SOYBEANS,0.67,54,1.0,0.75,0.0036,0.0043,0.0007,64.5,35.5,133.5,96.8,0.004
NATGAS/GOLD,0.33,65,0.75,0.75,-0.0501,-0.0301,0.02,72.4,27.6,186.9,140.7,0.0051
