pair,time_gate_pct,N_days,sd_gate,fraction,bl_avg_net,pe_avg_net,net_improvement,pct_fired,pct_no_fire,avg_hold_bl,avg_hold_pe,avg_fin_saving
NATGAS/COPPER,0.33,31,0.25,0.25,0.0191,0.0185,-0.0007,72.2,27.8,126.4,122.5,0.0004
NATGAS/COPPER,0.33,31,0.25,0.5,0.0191,0.0178,-0.0013,72.2,27.8,126.4,118.6,0.0009
NATGAS/COPPER,0.33,31,0.25,0.75,0.0191,0.0171,-0.002,72.2,27.8,126.4,114.7,0.0013
NATGAS/COPPER,0.33,31,0.5,0.25,0.0191,0.0174,-0.0017,75.0,25.0,126.4,119.4,0.0008
NATGAS/COPPER,0.33,31,0.5,0.5,0.0191,0.0157,-0.0034,75.0,25.0,126.4,112.4,0.0015
NATGAS/COPPER,0.33,31,0.5,0.75,0.0191,0.014,-0.0051,75.0,25.0,126.4,105.4,0.0023
NATGAS/COPPER,0.33,31,0.75,0.25,0.0191,0.0163,-0.0028,80.6,19.4,126.4,115.6,0.0012
NATGAS/COPPER,0.33,31,0.75,0.5,0.0191,0.0135,-0.0057,80.6,19.4,126.4,104.8,0.0024
NATGAS/COPPER,0.33,31,0.75,0.75,0.0191,0.0107,-0.0085,80.6,19.4,126.4,93.9,0.0036
NATGAS/COPPER,0.33,31,1.0,0.25,0.0191,0.014,-0.0051,80.6,19.4,126.4,112.4,0.0015
NATGAS/COPPER,0.33,31,1.0,0.5,0.0191,0.0089,-0.0103,80.6,19.4,126.4,98.3,0.0031
NATGAS/COPPER,0.33,31,1.0,0.75,0.0191,0.0037,-0.0154,80.6,19.4,126.4,84.2,0.0046
NATGAS/COPPER,0.5,47,0.25,0.25,0.0191,0.0189,-0.0003,58.3,41.7,126.4,122.6,0.0004
NATGAS/COPPER,0.5,47,0.25,0.5,0.0191,0.0186,-0.0006,58.3,41.7,126.4,118.7,0.0008
NATGAS/COPPER,0.5,47,0.25,0.75,0.0191,0.0183,-0.0009,58.3,41.7,126.4,114.9,0.0013
NATGAS/COPPER,0.5,47,0.5,0.25,0.0191,0.0176,-0.0016,61.1,38.9,126.4,120.3,0.0007
NATGAS/COPPER,0.5,47,0.5,0.5,0.0191,0.016,-0.0031,61.1,38.9,126.4,114.1,0.0014
NATGAS/COPPER,0.5,47,0.5,0.75,0.0191,0.0145,-0.0047,61.1,38.9,126.4,107.9,0.002
NATGAS/COPPER,0.5,47,0.75,0.25,0.0191,0.0169,-0.0023,66.7,33.3,126.4,116.7,0.0011
NATGAS/COPPER,0.5,47,0.75,0.5,0.0191,0.0146,-0.0045,66.7,33.3,126.4,106.9,0.0021
NATGAS/COPPER,0.5,47,0.75,0.75,0.0191,0.0124,-0.0068,66.7,33.3,126.4,97.2,0.0032
NATGAS/COPPER,0.5,47,1.0,0.25,0.0191,0.0158,-0.0033,66.7,33.3,126.4,113.8,0.0014
NATGAS/COPPER,0.5,47,1.0,0.5,0.0191,0.0125,-0.0067,66.7,33.3,126.4,101.1,0.0028
NATGAS/COPPER,0.5,47,1.0,0.75,0.0191,0.0091,-0.01,66.7,33.3,126.4,88.4,0.0042
NATGAS/COPPER,0.67,63,0.25,0.25,0.0191,0.0188,-0.0004,58.3,41.7,126.4,122.8,0.0004
NATGAS/COPPER,0.67,63,0.25,0.5,0.0191,0.0184,-0.0007,58.3,41.7,126.4,119.2,0.0008
NATGAS/COPPER,0.67,63,0.25,0.75,0.0191,0.018,-0.0011,58.3,41.7,126.4,115.5,0.0012
NATGAS/COPPER,0.67,63,0.5,0.25,0.0191,0.0174,-0.0018,58.3,41.7,126.4,120.9,0.0006
NATGAS/COPPER,0.67,63,0.5,0.5,0.0191,0.0156,-0.0036,58.3,41.7,126.4,115.3,0.0012
NATGAS/COPPER,0.67,63,0.5,0.75,0.0191,0.0138,-0.0054,58.3,41.7,126.4,109.7,0.0018
NATGAS/COPPER,0.67,63,0.75,0.25,0.0191,0.0166,-0.0026,63.9,36.1,126.4,117.4,0.001
NATGAS/COPPER,0.67,63,0.75,0.5,0.0191,0.014,-0.0052,63.9,36.1,126.4,108.3,0.002
NATGAS/COPPER,0.67,63,0.75,0.75,0.0191,0.0114,-0.0077,63.9,36.1,126.4,99.2,0.003
NATGAS/COPPER,0.67,63,1.0,0.25,0.0191,0.0152,-0.004,63.9,36.1,126.4,114.5,0.0013
NATGAS/COPPER,0.67,63,1.0,0.5,0.0191,0.0112,-0.008,63.9,36.1,126.4,102.6,0.0026
NATGAS/COPPER,0.67,63,1.0,0.75,0.0191,0.0072,-0.012,63.9,36.1,126.4,90.7,0.0039
NATGAS/BRENT,0.33,30,0.25,0.25,0.0139,0.0123,-0.0016,57.7,42.3,114.7,111.9,0.0003
NATGAS/BRENT,0.33,30,0.25,0.5,0.0139,0.0107,-0.0032,57.7,42.3,114.7,109.0,0.0006
NATGAS/BRENT,0.33,30,0.25,0.75,0.0139,0.0091,-0.0049,57.7,42.3,114.7,106.2,0.0009
NATGAS/BRENT,0.33,30,0.5,0.25,0.0139,0.0121,-0.0018,65.4,34.6,114.7,108.9,0.0006
NATGAS/BRENT,0.33,30,0.5,0.5,0.0139,0.0103,-0.0037,65.4,34.6,114.7,103.0,0.0013
NATGAS/BRENT,0.33,30,0.5,0.75,0.0139,0.0084,-0.0055,65.4,34.6,114.7,97.1,0.0019
NATGAS/BRENT,0.33,30,0.75,0.25,0.0139,0.0118,-0.0022,69.2,30.8,114.7,105.6,0.001
NATGAS/BRENT,0.33,30,0.75,0.5,0.0139,0.0096,-0.0044,69.2,30.8,114.7,96.4,0.002
NATGAS/BRENT,0.33,30,0.75,0.75,0.0139,0.0074,-0.0066,69.2,30.8,114.7,87.2,0.003
NATGAS/BRENT,0.33,30,1.0,0.25,0.0139,0.0118,-0.0022,73.1,26.9,114.7,100.8,0.0015
NATGAS/BRENT,0.33,30,1.0,0.5,0.0139,0.0096,-0.0043,73.1,26.9,114.7,86.9,0.0031
NATGAS/BRENT,0.33,30,1.0,0.75,0.0139,0.0075,-0.0065,73.1,26.9,114.7,73.0,0.0046
NATGAS/BRENT,0.5,46,0.25,0.25,0.0139,0.0125,-0.0014,53.8,46.2,114.7,112.3,0.0003
NATGAS/BRENT,0.5,46,0.25,0.5,0.0139,0.0111,-0.0029,53.8,46.2,114.7,109.9,0.0005
NATGAS/BRENT,0.5,46,0.25,0.75,0.0139,0.0096,-0.0043,53.8,46.2,114.7,107.5,0.0008
NATGAS/BRENT,0.5,46,0.5,0.25,0.0139,0.0121,-0.0018,61.5,38.5,114.7,109.5,0.0006
NATGAS/BRENT,0.5,46,0.5,0.5,0.0139,0.0103,-0.0036,61.5,38.5,114.7,104.2,0.0012
NATGAS/BRENT,0.5,46,0.5,0.75,0.0139,0.0085,-0.0054,61.5,38.5,114.7,99.0,0.0017
NATGAS/BRENT,0.5,46,0.75,0.25,0.0139,0.0122,-0.0018,65.4,34.6,114.7,106.2,0.0009
NATGAS/BRENT,0.5,46,0.75,0.5,0.0139,0.0104,-0.0036,65.4,34.6,114.7,97.6,0.0019
NATGAS/BRENT,0.5,46,0.75,0.75,0.0139,0.0086,-0.0054,65.4,34.6,114.7,89.1,0.0028
NATGAS/BRENT,0.5,46,1.0,0.25,0.0139,0.0127,-0.0012,69.2,30.8,114.7,101.5,0.0014
NATGAS/BRENT,0.5,46,1.0,0.5,0.0139,0.0115,-0.0025,69.2,30.8,114.7,88.3,0.0029
NATGAS/BRENT,0.5,46,1.0,0.75,0.0139,0.0102,-0.0037,69.2,30.8,114.7,75.0,0.0043
NATGAS/BRENT,0.67,61,0.25,0.25,0.0139,0.0125,-0.0015,50.0,50.0,114.7,112.3,0.0003
NATGAS/BRENT,0.67,61,0.25,0.5,0.0139,0.011,-0.003,50.0,50.0,114.7,110.0,0.0005
NATGAS/BRENT,0.67,61,0.25,0.75,0.0139,0.0095,-0.0044,50.0,50.0,114.7,107.6,0.0008
NATGAS/BRENT,0.67,61,0.5,0.25,0.0139,0.0124,-0.0015,57.7,42.3,114.7,109.9,0.0005
NATGAS/BRENT,0.67,61,0.5,0.5,0.0139,0.0109,-0.003,57.7,42.3,114.7,105.0,0.0011
