pair,time_gate_pct,N_days,fraction,bl_avg_net,pe_avg_net,net_improvement,pct_fired,avg_hold_bl,avg_hold_pe,avg_fin_saving
NATGAS/COPPER,0.33,31,0.25,0.0191,0.013,-0.0062,80.6,126.4,101.9,0.0027
NATGAS/COPPER,0.33,31,0.5,0.0191,0.0068,-0.0124,80.6,126.4,77.3,0.0054
NATGAS/COPPER,0.33,31,0.75,0.0191,0.0006,-0.0186,80.6,126.4,52.7,0.0081
NATGAS/COPPER,0.5,47,0.25,0.0191,0.0167,-0.0024,66.7,126.4,104.8,0.0024
NATGAS/COPPER,0.5,47,0.5,0.0191,0.0143,-0.0049,66.7,126.4,83.2,0.0047
NATGAS/COPPER,0.5,47,0.75,0.0191,0.0118,-0.0073,66.7,126.4,61.6,0.0071
NATGAS/COPPER,0.67,63,0.25,0.0191,0.0168,-0.0023,63.9,126.4,107.3,0.0021
NATGAS/COPPER,0.67,63,0.5,0.0191,0.0145,-0.0047,63.9,126.4,88.2,0.0042
NATGAS/COPPER,0.67,63,0.75,0.0191,0.0121,-0.007,63.9,126.4,69.1,0.0063
NATGAS/BRENT,0.33,30,0.25,0.0139,0.0102,-0.0038,73.1,114.7,92.8,0.0024
NATGAS/BRENT,0.33,30,0.5,0.0139,0.0064,-0.0075,73.1,114.7,70.9,0.0048
NATGAS/BRENT,0.33,30,0.75,0.0139,0.0026,-0.0113,73.1,114.7,49.0,0.0072
NATGAS/BRENT,0.5,46,0.25,0.0139,0.0086,-0.0054,69.2,114.7,95.6,0.0021
NATGAS/BRENT,0.5,46,0.5,0.0139,0.0032,-0.0107,69.2,114.7,76.5,0.0042
NATGAS/BRENT,0.5,46,0.75,0.0139,-0.0021,-0.0161,69.2,114.7,57.4,0.0063
NATGAS/BRENT,0.67,61,0.25,0.0139,0.0101,-0.0039,65.4,114.7,98.1,0.0018
NATGAS/BRENT,0.67,61,0.5,0.0139,0.0062,-0.0077,65.4,114.7,81.5,0.0036
NATGAS/BRENT,0.67,61,0.75,0.0139,0.0024,-0.0116,65.4,114.7,64.8,0.0055
NATGAS/COFFEE,0.33,26,0.25,0.027,0.0244,-0.0027,92.3,121.9,97.9,0.0026
NATGAS/COFFEE,0.33,26,0.5,0.027,0.0217,-0.0053,92.3,121.9,73.9,0.0053
NATGAS/COFFEE,0.33,26,0.75,0.027,0.0191,-0.008,92.3,121.9,49.9,0.0079
NATGAS/COFFEE,0.5,40,0.25,0.027,0.027,-0.0001,82.1,121.9,100.9,0.0023
NATGAS/COFFEE,0.5,40,0.5,0.027,0.0269,-0.0002,82.1,121.9,79.8,0.0046
NATGAS/COFFEE,0.5,40,0.75,0.027,0.0268,-0.0002,82.1,121.9,58.8,0.0069
NATGAS/COFFEE,0.67,54,0.25,0.027,0.0271,0.0,61.5,121.9,103.3,0.002
NATGAS/COFFEE,0.67,54,0.5,0.027,0.0271,0.0001,61.5,121.9,84.7,0.0041
NATGAS/COFFEE,0.67,54,0.75,0.027,0.0272,0.0001,61.5,121.9,66.0,0.0061
NATGAS/SUGAR,0.33,42,0.25,0.007,0.0048,-0.0022,85.7,144.5,117.9,0.0029
NATGAS/SUGAR,0.33,42,0.5,0.007,0.0025,-0.0045,85.7,144.5,91.2,0.0058
NATGAS/SUGAR,0.33,42,0.75,0.007,0.0003,-0.0067,85.7,144.5,64.6,0.0088
NATGAS/SUGAR,0.5,64,0.25,0.007,0.0025,-0.0045,71.4,144.5,122.1,0.0025
NATGAS/SUGAR,0.5,64,0.5,0.007,-0.0019,-0.0089,71.4,144.5,99.7,0.0049
NATGAS/SUGAR,0.5,64,0.75,0.007,-0.0064,-0.0134,71.4,144.5,77.3,0.0074
NATGAS/SUGAR,0.67,86,0.25,0.007,0.0027,-0.0043,62.9,144.5,125.8,0.002
NATGAS/SUGAR,0.67,86,0.5,0.007,-0.0017,-0.0087,62.9,144.5,107.1,0.0041
NATGAS/SUGAR,0.67,86,0.75,0.007,-0.006,-0.013,62.9,144.5,88.4,0.0061
NATGAS/SOYBEANS,0.33,39,0.25,-0.0177,-0.0173,0.0004,77.4,151.7,121.9,0.0033
NATGAS/SOYBEANS,0.33,39,0.5,-0.0177,-0.0169,0.0008,77.4,151.7,92.1,0.0065
NATGAS/SOYBEANS,0.33,39,0.75,-0.0177,-0.0165,0.0012,77.4,151.7,62.2,0.0098
NATGAS/SOYBEANS,0.5,59,0.25,-0.0177,-0.0189,-0.0013,74.2,151.7,125.6,0.0029
NATGAS/SOYBEANS,0.5,59,0.5,-0.0177,-0.0202,-0.0025,74.2,151.7,99.4,0.0057
NATGAS/SOYBEANS,0.5,59,0.75,-0.0177,-0.0215,-0.0038,74.2,151.7,73.3,0.0086
NATGAS/SOYBEANS,0.67,79,0.25,-0.0177,-0.0177,-0.0001,67.7,151.7,129.1,0.0025
NATGAS/SOYBEANS,0.67,79,0.5,-0.0177,-0.0178,-0.0002,67.7,151.7,106.5,0.005
NATGAS/SOYBEANS,0.67,79,0.75,-0.0177,-0.0179,-0.0002,67.7,151.7,83.9,0.0074
SILVER/COFFEE,0.33,23,0.25,0.0301,0.0246,-0.0055,73.9,97.5,78.2,0.0021
SILVER/COFFEE,0.33,23,0.5,0.0301,0.0191,-0.011,73.9,97.5,58.9,0.0042
SILVER/COFFEE,0.33,23,0.75,0.0301,0.0136,-0.0165,73.9,97.5,39.6,0.0063
SILVER/COFFEE,0.5,35,0.25,0.0301,0.0245,-0.0056,67.4,97.5,80.3,0.0019
SILVER/COFFEE,0.5,35,0.5,0.0301,0.0189,-0.0112,67.4,97.5,63.1,0.0038
SILVER/COFFEE,0.5,35,0.75,0.0301,0.0133,-0.0168,67.4,97.5,45.9,0.0057
SILVER/COFFEE,0.67,47,0.25,0.0301,0.0257,-0.0044,63.0,97.5,82.4,0.0017
SILVER/COFFEE,0.67,47,0.5,0.0301,0.0213,-0.0089,63.0,97.5,67.2,0.0033
SILVER/COFFEE,0.67,47,0.75,0.0301,0.0168,-0.0133,63.0,97.5,52.1,0.005
WHEAT/BRENT,0.33,22,0.25,0.0369,0.0286,-0.0083,77.4,98.6,78.8,0.0022
WHEAT/BRENT,0.33,22,0.5,0.0369,0.0203,-0.0166,77.4,98.6,58.9,0.0044
WHEAT/BRENT,0.33,22,0.75,0.0369,0.012,-0.0249,77.4,98.6,39.0,0.0065
WHEAT/BRENT,0.5,34,0.25,0.0369,0.0282,-0.0087,71.0,98.6,80.9,0.0019
WHEAT/BRENT,0.5,34,0.5,0.0369,0.0194,-0.0175,71.0,98.6,63.3,0.0039
WHEAT/BRENT,0.5,34,0.75,0.0369,0.0107,-0.0262,71.0,98.6,45.6,0.0058
WHEAT/BRENT,0.67,46,0.25,0.0369,0.0277,-0.0092,61.3,98.6,82.9,0.0017
WHEAT/BRENT,0.67,46,0.5,0.0369,0.0185,-0.0184,61.3,98.6,67.2,0.0034
WHEAT/BRENT,0.67,46,0.75,0.0369,0.0093,-0.0276,61.3,98.6,51.5,0.0052
SOYBEANS/WHEAT,0.33,26,0.25,0.022,0.0208,-0.0012,65.8,111.1,88.7,0.0024
SOYBEANS/WHEAT,0.33,26,0.5,0.022,0.0196,-0.0024,65.8,111.1,66.4,0.0049
SOYBEANS/WHEAT,0.33,26,0.75,0.022,0.0184,-0.0036,65.8,111.1,44.0,0.0073
SOYBEANS/WHEAT,0.5,40,0.25,0.022,0.0202,-0.0018,65.8,111.1,91.0,0.0022
SOYBEANS/WHEAT,0.5,40,0.5,0.022,0.0184,-0.0037,65.8,111.1,71.0,0.0044
SOYBEANS/WHEAT,0.5,40,0.75,0.022,0.0165,-0.0055,65.8,111.1,50.9,0.0066
SOYBEANS/WHEAT,0.67,53,0.25,0.022,0.0211,-0.001,60.5,111.1,93.1,0.002
SOYBEANS/WHEAT,0.67,53,0.5,0.022,0.0201,-0.0019,60.5,111.1,75.2,0.0039
SOYBEANS/WHEAT,0.67,53,0.75,0.022,0.0192,-0.0029,60.5,111.1,57.2,0.0059
SOYBEANS/PLATINUM,0.33,38,0.25,0.0019,0.0035,0.0016,71.4,140.8,114.4,0.0029
SOYBEANS/PLATINUM,0.33,38,0.5,0.0019,0.0051,0.0033,71.4,140.8,88.0,0.0058
SOYBEANS/PLATINUM,0.33,38,0.75,0.0019,0.0068,0.0049,71.4,140.8,61.6,0.0087
SOYBEANS/PLATINUM,0.5,58,0.25,0.0019,0.002,0.0001,64.3,140.8,118.5,0.0024
SOYBEANS/PLATINUM,0.5,58,0.5,0.0019,0.0021,0.0003,64.3,140.8,96.2,0.0049
SOYBEANS/PLATINUM,0.5,58,0.75,0.0019,0.0022,0.0004,64.3,140.8,74.0,0.0073
SOYBEANS/PLATINUM,0.67,78,0.25,0.0019,0.0026,0.0007,57.1,140.8,121.1,0.0022
SOYBEANS/PLATINUM,0.67,78,0.5,0.0019,0.0033,0.0015,57.1,140.8,101.4,0.0043
SOYBEANS/PLATINUM,0.67,78,0.75,0.0019,0.004,0.0022,57.1,140.8,81.7,0.0065
GOLD/NATGAS,0.33,67,0.25,-0.0431,-0.0373,0.0058,75.0,179.4,148.8,0.0033
GOLD/NATGAS,0.33,67,0.5,-0.0431,-0.0315,0.0116,75.0,179.4,118.3,0.0067
GOLD/NATGAS,0.33,67,0.75,-0.0431,-0.0256,0.0175,75.0,179.4,87.8,0.01
GOLD/NATGAS,0.5,102,0.25,-0.0431,-0.0376,0.0055,65.6,179.4,155.2,0.0026
GOLD/NATGAS,0.5,102,0.5,-0.0431,-0.0321,0.011,65.6,179.4,131.1,0.0053
GOLD/NATGAS,0.5,102,0.75,-0.0431,-0.0266,0.0165,65.6,179.4,107.0,0.0079
GOLD/NATGAS,0.67,137,0.25,-0.0431,-0.0395,0.0036,62.5,179.4,160.8,0.002
GOLD/NATGAS,0.67,137,0.5,-0.0431,-0.0359,0.0072,62.5,179.4,142.2,0.0041
GOLD/NATGAS,0.67,137,0.75,-0.0431,-0.0323,0.0108,62.5,179.4,123.6,0.0061
COPPER/NATGAS,0.33,32,0.25,0.0178,0.014,-0.0038,86.1,125.1,101.2,0.0026
COPPER/NATGAS,0.33,32,0.5,0.0178,0.0102,-0.0077,86.1,125.1,77.4,0.0052
COPPER/NATGAS,0.33,32,0.75,0.0178,0.0064,-0.0115,86.1,125.1,53.5,0.0078
COPPER/NATGAS,0.5,49,0.25,0.0178,0.0171,-0.0007,72.2,125.1,104.5,0.0023
COPPER/NATGAS,0.5,49,0.5,0.0178,0.0164,-0.0015,72.2,125.1,83.9,0.0045
COPPER/NATGAS,0.5,49,0.75,0.0178,0.0156,-0.0022,72.2,125.1,63.4,0.0068
COPPER/NATGAS,0.67,65,0.25,0.0178,0.0169,-0.0009,66.7,125.1,107.3,0.0019
COPPER/NATGAS,0.67,65,0.5,0.0178,0.0161,-0.0018,66.7,125.1,89.5,0.0039
COPPER/NATGAS,0.67,65,0.75,0.0178,0.0152,-0.0027,66.7,125.1,71.7,0.0058
