pair,n,mean_peak_sd,mean_pct_hold_to_peak,pct_vel5_neg_peak,bl_avg_net,flags
BRENT/NATGAS,23,2.9418721999751334,0.14771223178921805,0.0,0.008222925019468306,
BRENT/WHEAT,23,2.9269212513711302,0.15166393921016774,0.0,0.03738439185169061,
COFFEE/NATGAS,37,2.8974520143786875,0.1718105939730603,0.0,0.03523664551168562,
COFFEE/SILVER,31,3.0538827621763045,0.16887234513867572,0.0,-0.0003357592147038368,
COPPER/NATGAS,31,2.8139205660154603,0.24910662758961633,0.0,0.015259042920083002,
GOLD/NATGAS,30,3.0572926858254394,0.17463701294878028,0.0,-0.03592234007738916,
NATGAS/BRENT,22,3.0640712987579235,0.1700131204231619,0.0,0.019712265628748903,
NATGAS/COFFEE,36,2.8746767803998257,0.20628727921320802,0.0,0.027844707350943836,
NATGAS/COPPER,31,2.8758630993225536,0.21934599596069887,0.0,0.01671956659648113,
NATGAS/GOLD,27,3.1343833251014805,0.16017795066413457,0.0,-0.049035196526278337,
NATGAS/SOYBEANS,25,3.173872310431056,0.2128535519612834,0.0,-0.015690157320237347,
NATGAS/SUGAR,33,2.853557453037179,0.17997600452559082,0.0,0.013941732421249263,
PLATINUM/SOYBEANS,27,2.806507250779553,0.21848765434842968,0.0,0.005276478263161546,
SILVER/COFFEE,38,2.976139420630768,0.17838627069440327,0.0,0.03407992741689251,
SOYBEANS/NATGAS,31,2.991935403577087,0.1550298563601033,0.0,0.005777040905104637,
SOYBEANS/PLATINUM,23,2.911946447651518,0.24162401092318456,0.0,-0.003458178235724346,
SOYBEANS/WHEAT,30,2.836627139868488,0.21630272041089216,0.0,0.02075618157610618,
SUGAR/NATGAS,30,2.9697300943504246,0.19793390976446,0.0,-0.019882347538536287,
WHEAT/BRENT,26,2.804624458188565,0.0932123719740534,0.0,0.04249603615308987,
WHEAT/SOYBEANS,29,2.841319569075131,0.24544254845119765,0.0,0.01702507094239086,
