group,time_frac,mean_frac_captured,median_frac_captured,n_trades,pct_above_linear
winners,0.1,-0.8428,0.0178,453,41.3
winners,0.2,-1.2908,0.0295,453,32.5
winners,0.3,-1.4246,-0.0155,453,28.7
winners,0.4,-1.3357,0.0488,453,22.7
winners,0.5,-1.6751,0.0668,453,18.1
winners,0.6,-1.898,0.1013,453,16.8
winners,0.7,-1.9242,0.2175,453,10.4
winners,0.8,-1.6054,0.2916,453,7.7
winners,0.9,-0.7564,0.4586,453,3.3
losers,0.1,0.594,0.2136,147,59.2
losers,0.2,1.2087,0.4581,147,68.7
losers,0.3,1.6671,0.4754,147,63.9
losers,0.4,2.3276,0.7431,147,69.4
losers,0.5,2.4274,0.8769,147,70.1
losers,0.6,2.924,0.891,147,74.1
losers,0.7,3.3393,1.0611,147,74.1
losers,0.8,2.7212,1.1329,147,72.1
losers,0.9,2.073,1.125,147,70.1
