stall_days,peak_sd_gate,n_baseline,n_entered,n_filtered,n_no_stall,coverage,bl_mean_net,sg_mean_net,net_delta,bl_win_rate,sg_win_rate,mean_hold_delta
3,None,583,582,0,1,0.9983,0.0095,0.0066,-0.0029,0.7027,0.7113,-7.4
3,2.5,583,374,208,1,0.6415,0.019,0.0048,-0.0142,0.7299,0.7139,-6.0
3,3.0,583,484,98,1,0.8302,0.0123,0.0025,-0.0098,0.7107,0.7066,-6.6
3,3.5,583,541,41,1,0.928,0.0103,0.0039,-0.0064,0.7061,0.7061,-7.1
3,4.0,583,565,17,1,0.9691,0.0101,0.0053,-0.0048,0.7062,0.7097,-7.3
5,None,583,581,0,2,0.9966,0.0094,0.0067,-0.0028,0.7022,0.7074,-12.0
5,2.5,583,327,254,2,0.5609,0.0253,0.005,-0.0202,0.7401,0.7095,-9.4
5,3.0,583,446,135,2,0.765,0.0172,0.003,-0.0141,0.722,0.7018,-10.4
5,3.5,583,526,55,2,0.9022,0.0107,0.0028,-0.0079,0.7072,0.6996,-11.4
5,4.0,583,559,22,2,0.9588,0.0105,0.0053,-0.0052,0.7066,0.7066,-11.8
7,None,583,565,0,18,0.9691,0.0073,0.0043,-0.0029,0.6938,0.7044,-16.1
7,2.5,583,296,269,18,0.5077,0.0245,0.0015,-0.023,0.7466,0.6993,-12.9
7,3.0,583,420,145,18,0.7204,0.0181,0.0026,-0.0155,0.7238,0.7,-14.2
7,3.5,583,505,60,18,0.8662,0.0093,0.0011,-0.0082,0.699,0.697,-15.3
7,4.0,583,539,26,18,0.9245,0.0089,0.0031,-0.0058,0.7013,0.705,-15.8
10,None,583,554,0,29,0.9503,0.0058,0.0055,-0.0003,0.6877,0.6949,-22.8
10,2.5,583,259,295,29,0.4443,0.0265,-0.0021,-0.0286,0.749,0.6795,-18.1
10,3.0,583,398,156,29,0.6827,0.0186,0.0009,-0.0177,0.7211,0.6884,-20.6
10,3.5,583,484,70,29,0.8302,0.011,0.0012,-0.0098,0.7004,0.688,-21.6
10,4.0,583,519,35,29,0.8902,0.0094,0.0032,-0.0062,0.6994,0.6936,-22.2
