pair,n_2.0,avg_net_2.0,net_delta_2.0,win_rate_2.0,avg_hold_2.0,avg_entry_sd_2.0,n_2.5,avg_net_2.5,net_delta_2.5,win_rate_2.5,avg_hold_2.5,avg_entry_sd_2.5,n_3.0,avg_net_3.0,net_delta_3.0,win_rate_3.0,avg_hold_3.0,avg_entry_sd_3.0,n_3.5,avg_net_3.5,net_delta_3.5,win_rate_3.5,avg_hold_3.5,avg_entry_sd_3.5,best_T,best_delta
NATGAS/COPPER,36,0.0191,0.0,0.7222,126.4,2.544,23,0.0236,0.0044,0.7826,140.2,3.159,14,0.0481,0.0289,0.8571,119.9,3.889,8,0.069,0.0498,0.875,90.6,4.795,3.5,0.0498
NATGAS/BRENT,26,0.0139,0.0,0.8077,114.7,2.674,20,0.0252,0.0112,0.8,114.7,3.405,15,0.0141,0.0002,0.7333,131.1,3.959,8,0.0382,0.0243,0.75,136.1,4.855,3.5,0.0243
NATGAS/COFFEE,39,0.0275,0.0,0.7692,122.0,2.454,29,0.0368,0.0093,0.7586,128.2,2.964,12,0.0695,0.0421,0.75,104.8,4.089,8,0.0943,0.0669,0.875,103.8,4.928,3.5,0.0669
NATGAS/SUGAR,36,0.01,0.0,0.6667,141.0,2.474,24,0.0184,0.0084,0.7083,145.8,3.327,16,0.0296,0.0196,0.8125,151.4,4.358,10,0.0451,0.0352,0.8,115.3,5.229,3.5,0.0352
NATGAS/SOYBEANS,31,-0.0177,0.0,0.6129,151.7,2.931,25,-0.0189,-0.0013,0.64,153.6,3.526,19,0.0018,0.0194,0.6842,142.8,4.301,13,0.0073,0.0249,0.6923,113.2,5.328,3.5,0.0249
SILVER/COFFEE,46,0.03,0.0,0.8696,97.5,2.576,33,0.0342,0.0042,0.8788,97.6,3.286,21,0.0264,-0.0037,0.8571,103.4,3.928,15,0.0278,-0.0022,0.8667,100.0,4.724,2.5,0.0042
WHEAT/BRENT,31,0.037,0.0,0.8387,98.6,2.577,14,0.0096,-0.0273,0.7857,145.4,3.48,11,0.0124,-0.0246,0.7273,133.2,4.257,10,0.0252,-0.0118,0.7,132.9,4.672,2.0,0.0
SOYBEANS/WHEAT,36,0.0215,0.0,0.7778,117.1,2.639,22,0.0203,-0.0012,0.7727,137.2,3.327,16,0.0224,0.0009,0.75,122.8,3.93,7,0.0193,-0.0021,0.7143,144.9,5.45,3.0,0.0009
SOYBEANS/PLATINUM,27,-0.0029,0.0,0.6667,141.3,3.038,21,-0.0011,0.0019,0.619,142.0,3.778,16,0.0143,0.0172,0.6875,135.6,4.442,7,-0.0066,-0.0037,0.5714,111.3,6.443,3.0,0.0172
GOLD/NATGAS,32,-0.0431,0.0,0.5625,179.4,2.489,23,-0.034,0.0091,0.5217,187.6,3.268,19,-0.0445,-0.0014,0.4737,189.5,3.778,11,-0.0068,0.0363,0.5455,172.9,4.496,3.5,0.0363
COPPER/NATGAS,36,0.0178,0.0,0.6944,125.1,2.501,24,0.0279,0.01,0.7917,137.0,3.095,13,0.0226,0.0048,0.6923,144.7,3.939,7,0.0289,0.011,0.7143,106.9,4.83,3.5,0.011
BRENT/NATGAS,27,0.0053,0.0,0.6667,130.1,2.737,18,-0.0046,-0.0099,0.6667,141.6,3.483,11,-0.0401,-0.0455,0.4545,196.2,4.291,7,0.0018,-0.0035,0.5714,174.6,5.264,2.0,0.0
COFFEE/NATGAS,42,0.0354,0.0,0.8095,109.7,2.445,27,0.0517,0.0163,0.8519,122.8,3.003,15,0.0607,0.0252,0.8667,112.3,3.733,8,0.1008,0.0654,1.0,87.9,4.804,3.5,0.0654
SUGAR/NATGAS,33,-0.0203,0.0,0.5455,168.4,2.469,24,-0.0011,0.0192,0.5417,166.2,3.282,17,0.0069,0.0272,0.6471,161.4,4.21,8,0.0453,0.0656,0.875,108.4,5.672,3.5,0.0656
SOYBEANS/NATGAS,38,0.0035,0.0,0.7105,133.1,2.838,27,-0.0075,-0.0109,0.6296,145.7,3.472,20,-0.022,-0.0255,0.5,150.4,4.037,12,-0.009,-0.0125,0.5833,129.6,5.31,2.0,0.0
COFFEE/SILVER,37,0.0052,0.0,0.7838,126.8,2.611,26,0.0155,0.0104,0.7308,123.5,3.25,18,0.0358,0.0306,0.8333,109.9,3.836,11,-0.0164,-0.0216,0.7273,112.5,4.635,3.0,0.0306
BRENT/WHEAT,29,0.0318,0.0,0.8276,112.4,2.66,20,0.0283,-0.0035,0.85,111.5,3.224,12,0.0107,-0.0211,0.75,142.2,4.067,9,0.0454,0.0136,0.7778,127.9,4.563,3.5,0.0136
WHEAT/SOYBEANS,35,0.0183,0.0,0.7143,125.8,2.711,20,-0.0045,-0.0228,0.7,139.7,3.401,14,0.0055,-0.0128,0.6429,146.5,4.041,8,0.0465,0.0281,0.875,116.2,5.112,3.5,0.0281
PLATINUM/SOYBEANS,31,0.0024,0.0,0.7097,137.3,2.96,22,0.011,0.0086,0.6818,138.2,3.682,13,0.0142,0.0118,0.6923,134.6,4.795,6,-0.0075,-0.0099,0.6667,116.3,6.959,3.0,0.0118
NATGAS/GOLD,29,-0.0501,0.0,0.5172,186.9,2.62,23,-0.046,0.0041,0.6087,193.5,3.171,15,-0.046,0.0041,0.6,183.9,3.94,10,-0.0024,0.0477,0.7,150.2,4.67,3.5,0.0477
