pair,long,short,activation,buffer,bl_n,bl_gross_wr,bl_net_wr,bl_avg_gross,bl_avg_net,bl_avg_hold,st_n,st_gross_wr,st_net_wr,st_avg_gross,st_avg_net,st_avg_hold,n_fired,pct_fired,n_unnecessary,pct_unnecessary,net_improvement
NATGAS/COPPER,NATGAS,COPPER,0.5,0.75,36,0.8611,0.7222,0.035,0.0191,126.4,39,0.8718,0.7179,0.0336,0.0195,110.2,7,17.9,5,71.4,0.0004
NATGAS/BRENT,NATGAS,BRENT,1.0,0.75,26,0.8077,0.8077,0.0285,0.0139,114.7,33,0.7273,0.7273,0.0235,0.0113,93.0,8,24.2,4,50.0,-0.0027
NATGAS/COFFEE,NATGAS,COFFEE,0.5,0.1,39,0.7949,0.7692,0.0424,0.027,121.9,46,0.8261,0.7826,0.0395,0.0285,82.2,25,54.3,13,52.0,0.0015
NATGAS/SUGAR,NATGAS,SUGAR,1.0,0.75,35,0.8,0.6571,0.0248,0.007,144.5,50,0.66,0.6,0.0218,0.0089,100.0,17,34.0,8,47.1,0.0019
NATGAS/SOYBEANS,NATGAS,SOYBEANS,1.5,0.5,31,0.7097,0.6129,0.001,-0.0177,151.7,50,0.54,0.52,0.0099,-0.0021,91.5,20,40.0,8,40.0,0.0155
SILVER/COFFEE,SILVER,COFFEE,1.0,0.2,46,0.913,0.8696,0.0428,0.0301,97.5,60,0.85,0.8167,0.0307,0.0223,58.0,30,50.0,23,76.7,-0.0078
WHEAT/BRENT,WHEAT,BRENT,1.25,0.75,31,0.871,0.8387,0.0497,0.0369,98.6,33,0.8182,0.7879,0.0473,0.0351,92.6,2,6.1,2,100.0,-0.0018
SOYBEANS/WHEAT,SOYBEANS,WHEAT,1.0,0.75,38,0.8684,0.7895,0.0362,0.022,111.1,53,0.6981,0.6226,0.0301,0.0194,79.3,17,32.1,9,52.9,-0.0026
SOYBEANS/PLATINUM,SOYBEANS,PLATINUM,0.75,0.3,28,0.75,0.6786,0.0193,0.0019,140.8,34,0.7353,0.7059,0.0176,0.0044,102.7,12,35.3,8,66.7,0.0025
GOLD/NATGAS,GOLD,NATGAS,1.25,0.1,32,0.5938,0.5625,-0.0214,-0.0431,179.4,53,0.6226,0.566,0.0002,-0.0096,71.9,38,71.7,14,36.8,0.0334
COPPER/NATGAS,COPPER,NATGAS,1.25,0.75,36,0.8333,0.6944,0.0335,0.0178,125.1,51,0.6275,0.5686,0.0324,0.0209,87.4,16,31.4,8,50.0,0.003
BRENT/NATGAS,BRENT,NATGAS,0.75,0.1,27,0.7037,0.6667,0.0216,0.0053,130.1,33,0.7273,0.6667,0.0249,0.0137,83.5,20,60.6,10,50.0,0.0084
COFFEE/NATGAS,COFFEE,NATGAS,0.5,0.1,42,0.881,0.8095,0.0495,0.0355,109.7,45,0.8444,0.8222,0.0441,0.0327,86.2,18,40.0,14,77.8,-0.0028
SUGAR/NATGAS,SUGAR,NATGAS,0.5,0.1,33,0.6364,0.5455,0.0002,-0.0202,168.4,36,0.6944,0.5833,0.0148,-0.0017,132.5,15,41.7,5,33.3,0.0185
SOYBEANS/NATGAS,SOYBEANS,NATGAS,0.75,0.3,38,0.7105,0.7105,0.0201,0.0035,133.1,41,0.7317,0.7317,0.0178,0.0045,103.0,11,26.8,6,54.5,0.001
COFFEE/SILVER,COFFEE,SILVER,0.75,0.3,37,0.7838,0.7838,0.0212,0.0053,126.8,51,0.8431,0.8039,0.0307,0.0202,77.5,22,43.1,9,40.9,0.0149
BRENT/WHEAT,BRENT,WHEAT,1.25,0.75,29,0.8966,0.8276,0.0461,0.0318,112.4,32,0.8125,0.7812,0.0378,0.0247,100.6,4,12.5,4,100.0,-0.0071
WHEAT/SOYBEANS,WHEAT,SOYBEANS,0.5,0.1,36,0.8056,0.75,0.0339,0.0185,122.3,45,0.8222,0.8,0.0336,0.0229,79.4,24,53.3,15,62.5,0.0044
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.25,0.5,31,0.7097,0.7097,0.0202,0.0036,133.5,48,0.5833,0.5417,0.022,0.0109,82.9,21,43.8,7,33.3,0.0073
NATGAS/GOLD,NATGAS,GOLD,1.5,0.3,29,0.6207,0.5172,-0.0276,-0.0501,186.9,50,0.54,0.52,-0.0112,-0.0237,95.5,29,58.0,12,41.4,0.0264
