pair,long,short,activation,buffer,bl_n,bl_gross_wr,bl_net_wr,bl_avg_gross,bl_avg_net,bl_avg_hold,st_n,st_gross_wr,st_net_wr,st_avg_gross,st_avg_net,st_avg_hold,n_fired,pct_fired,n_unnecessary,pct_unnecessary,net_improvement
NATGAS/COPPER,NATGAS,COPPER,1.5,0.1,36,0.8611,0.7222,0.035,0.0191,126.4,61,0.6721,0.6393,0.0144,0.0062,56.7,39,63.9,25,64.1,-0.013
NATGAS/COPPER,NATGAS,COPPER,1.5,0.2,36,0.8611,0.7222,0.035,0.0191,126.4,61,0.6557,0.623,0.0194,0.0106,62.3,34,55.7,21,61.8,-0.0086
NATGAS/COPPER,NATGAS,COPPER,1.5,0.3,36,0.8611,0.7222,0.035,0.0191,126.4,60,0.6833,0.6167,0.0258,0.0162,68.8,29,48.3,20,69.0,-0.0029
NATGAS/COPPER,NATGAS,COPPER,1.5,0.5,36,0.8611,0.7222,0.035,0.0191,126.4,53,0.5849,0.5472,0.0142,0.0034,80.5,24,45.3,18,75.0,-0.0157
NATGAS/COPPER,NATGAS,COPPER,1.5,0.75,36,0.8611,0.7222,0.035,0.0191,126.4,49,0.6531,0.6122,0.0236,0.0112,94.4,14,28.6,12,85.7,-0.0079
NATGAS/COPPER,NATGAS,COPPER,1.25,0.1,36,0.8611,0.7222,0.035,0.0191,126.4,55,0.7273,0.6909,0.0132,0.005,56.1,37,67.3,25,67.6,-0.0141
NATGAS/COPPER,NATGAS,COPPER,1.25,0.2,36,0.8611,0.7222,0.035,0.0191,126.4,55,0.7273,0.6545,0.0197,0.0108,62.7,31,56.4,21,67.7,-0.0083
NATGAS/COPPER,NATGAS,COPPER,1.25,0.3,36,0.8611,0.7222,0.035,0.0191,126.4,55,0.6727,0.6182,0.0174,0.0081,66.3,30,54.5,20,66.7,-0.011
NATGAS/COPPER,NATGAS,COPPER,1.25,0.5,36,0.8611,0.7222,0.035,0.0191,126.4,55,0.6545,0.5818,0.0188,0.0087,73.4,26,47.3,18,69.2,-0.0104
NATGAS/COPPER,NATGAS,COPPER,1.25,0.75,36,0.8611,0.7222,0.035,0.0191,126.4,48,0.625,0.5625,0.014,0.0023,88.1,19,39.6,15,78.9,-0.0168
NATGAS/COPPER,NATGAS,COPPER,1.0,0.1,36,0.8611,0.7222,0.035,0.0191,126.4,45,0.8,0.6667,0.0189,0.0091,71.2,27,60.0,18,66.7,-0.01
NATGAS/COPPER,NATGAS,COPPER,1.0,0.2,36,0.8611,0.7222,0.035,0.0191,126.4,45,0.7778,0.6667,0.0202,0.0101,74.3,24,53.3,16,66.7,-0.0091
NATGAS/COPPER,NATGAS,COPPER,1.0,0.3,36,0.8611,0.7222,0.035,0.0191,126.4,45,0.7333,0.6667,0.024,0.0135,78.3,20,44.4,15,75.0,-0.0057
NATGAS/COPPER,NATGAS,COPPER,1.0,0.5,36,0.8611,0.7222,0.035,0.0191,126.4,45,0.6889,0.6222,0.0218,0.0106,83.8,18,40.0,14,77.8,-0.0085
NATGAS/COPPER,NATGAS,COPPER,1.0,0.75,36,0.8611,0.7222,0.035,0.0191,126.4,45,0.6889,0.6,0.0226,0.0105,91.8,15,33.3,11,73.3,-0.0086
NATGAS/COPPER,NATGAS,COPPER,0.75,0.1,36,0.8611,0.7222,0.035,0.0191,126.4,42,0.8095,0.7143,0.0268,0.0154,85.2,22,52.4,17,77.3,-0.0037
NATGAS/COPPER,NATGAS,COPPER,0.75,0.2,36,0.8611,0.7222,0.035,0.0191,126.4,42,0.8571,0.7857,0.0303,0.0186,89.0,18,42.9,13,72.2,-0.0006
NATGAS/COPPER,NATGAS,COPPER,0.75,0.3,36,0.8611,0.7222,0.035,0.0191,126.4,42,0.8571,0.7619,0.0287,0.0167,91.5,17,40.5,12,70.6,-0.0025
NATGAS/COPPER,NATGAS,COPPER,0.75,0.5,36,0.8611,0.7222,0.035,0.0191,126.4,42,0.8333,0.7143,0.0318,0.0193,95.7,12,28.6,8,66.7,0.0001
NATGAS/COPPER,NATGAS,COPPER,0.75,0.75,36,0.8611,0.7222,0.035,0.0191,126.4,42,0.7381,0.6429,0.0291,0.0164,98.0,10,23.8,6,60.0,-0.0027
NATGAS/COPPER,NATGAS,COPPER,0.5,0.1,36,0.8611,0.7222,0.035,0.0191,126.4,39,0.7692,0.6667,0.0233,0.0104,99.1,20,51.3,16,80.0,-0.0087
NATGAS/COPPER,NATGAS,COPPER,0.5,0.2,36,0.8611,0.7222,0.035,0.0191,126.4,39,0.7949,0.7179,0.0263,0.0133,100.3,16,41.0,14,87.5,-0.0059
NATGAS/COPPER,NATGAS,COPPER,0.5,0.3,36,0.8611,0.7222,0.035,0.0191,126.4,39,0.8205,0.7179,0.0273,0.014,102.5,14,35.9,12,85.7,-0.0051
NATGAS/COPPER,NATGAS,COPPER,0.5,0.5,36,0.8611,0.7222,0.035,0.0191,126.4,39,0.8462,0.7436,0.033,0.0194,106.2,9,23.1,7,77.8,0.0002
NATGAS/COPPER,NATGAS,COPPER,0.5,0.75,36,0.8611,0.7222,0.035,0.0191,126.4,39,0.8718,0.7179,0.0336,0.0195,110.2,7,17.9,5,71.4,0.0004
NATGAS/BRENT,NATGAS,BRENT,1.5,0.1,26,0.8077,0.8077,0.0285,0.0139,114.7,42,0.5952,0.5714,0.0108,0.003,53.4,25,59.5,12,48.0,-0.011
NATGAS/BRENT,NATGAS,BRENT,1.5,0.2,26,0.8077,0.8077,0.0285,0.0139,114.7,42,0.619,0.5952,0.0168,0.0082,60.3,20,47.6,10,50.0,-0.0057
NATGAS/BRENT,NATGAS,BRENT,1.5,0.3,26,0.8077,0.8077,0.0285,0.0139,114.7,42,0.5714,0.5476,0.0164,0.0073,64.3,19,45.2,10,52.6,-0.0066
NATGAS/BRENT,NATGAS,BRENT,1.5,0.5,26,0.8077,0.8077,0.0285,0.0139,114.7,40,0.55,0.55,0.0173,0.0072,74.1,16,40.0,8,50.0,-0.0067
NATGAS/BRENT,NATGAS,BRENT,1.5,0.75,26,0.8077,0.8077,0.0285,0.0139,114.7,36,0.6111,0.6111,0.0147,0.0033,86.0,11,30.6,6,54.5,-0.0107
NATGAS/BRENT,NATGAS,BRENT,1.25,0.1,26,0.8077,0.8077,0.0285,0.0139,114.7,36,0.6389,0.5556,0.0084,0.0002,56.4,23,63.9,11,47.8,-0.0138
NATGAS/BRENT,NATGAS,BRENT,1.25,0.2,26,0.8077,0.8077,0.0285,0.0139,114.7,36,0.5833,0.5556,0.0073,-0.0012,59.0,21,58.3,9,42.9,-0.0152
NATGAS/BRENT,NATGAS,BRENT,1.25,0.3,26,0.8077,0.8077,0.0285,0.0139,114.7,36,0.6111,0.5556,0.0095,0.0004,64.7,19,52.8,8,42.1,-0.0136
NATGAS/BRENT,NATGAS,BRENT,1.25,0.5,26,0.8077,0.8077,0.0285,0.0139,114.7,36,0.6667,0.6667,0.0179,0.007,81.5,12,33.3,5,41.7,-0.007
NATGAS/BRENT,NATGAS,BRENT,1.25,0.75,26,0.8077,0.8077,0.0285,0.0139,114.7,34,0.6471,0.6471,0.0191,0.0075,87.5,10,29.4,3,30.0,-0.0065
NATGAS/BRENT,NATGAS,BRENT,1.0,0.1,26,0.8077,0.8077,0.0285,0.0139,114.7,33,0.6667,0.6364,0.0122,0.0025,69.8,21,63.6,12,57.1,-0.0114
NATGAS/BRENT,NATGAS,BRENT,1.0,0.2,26,0.8077,0.8077,0.0285,0.0139,114.7,33,0.697,0.6667,0.0145,0.0041,76.4,18,54.5,11,61.1,-0.0098
NATGAS/BRENT,NATGAS,BRENT,1.0,0.3,26,0.8077,0.8077,0.0285,0.0139,114.7,33,0.7273,0.6667,0.0165,0.0057,80.2,16,48.5,9,56.2,-0.0083
NATGAS/BRENT,NATGAS,BRENT,1.0,0.5,26,0.8077,0.8077,0.0285,0.0139,114.7,33,0.697,0.6667,0.019,0.0074,87.7,12,36.4,5,41.7,-0.0066
NATGAS/BRENT,NATGAS,BRENT,1.0,0.75,26,0.8077,0.8077,0.0285,0.0139,114.7,33,0.7273,0.7273,0.0235,0.0113,93.0,8,24.2,4,50.0,-0.0027
NATGAS/BRENT,NATGAS,BRENT,0.75,0.1,26,0.8077,0.8077,0.0285,0.0139,114.7,29,0.8276,0.7931,0.0192,0.0074,89.4,13,44.8,9,69.2,-0.0066
NATGAS/BRENT,NATGAS,BRENT,0.75,0.2,26,0.8077,0.8077,0.0285,0.0139,114.7,29,0.7931,0.7931,0.0173,0.0054,90.4,13,44.8,9,69.2,-0.0085
